央视,#genre#
天映经典,http://74.91.26.218:82/live/tyjd.m3u8
中视新闻,http://74.91.26.218:82/live/ctvnews.m3u8
中视菁采,http://74.91.26.218:82/live/ctvjc.m3u8
台视新闻,http://74.91.26.218:82/live/ttvnews.m3u8
台视综合,http://74.91.26.218:82/live/ttvzh.m3u8
中视经典,http://74.91.26.218:82/live/ctvjd.m3u8

影视频道,#genre#
电视剧-武林外传,http://w.wbravo.com:83/tv/yy.php?id=1355652820
电视剧-水浒传,http://w.wbravo.com:83/tv/yy.php?id=1382702247
电视剧-亮剑,http://w.wbravo.com:83/tv/yy.php?id=1356043643
电视剧-少年包青天,http://w.wbravo.com:83/tv/yy.php?id=1356043677
电视剧-纪晓岚,http://w.wbravo.com:83/tv/yy.php?id=1354143978
电视剧-狂飙,http://w.wbravo.com:83/tv/yy.php?id=1354790484
电视剧-地下交通站,http://w.wbravo.com:83/tv/yy.php?id=1382736795
电视剧-神探狄仁杰,http://w.wbravo.com:83/tv/yy.php?id=1382851575
电视剧-济公,http://w.wbravo.com:83/tv/yy.php?id=1355265814
电视剧-新三国演义,http://w.wbravo.com:83/tv/yy.php?id=29216766
电视剧-神雕侠侣,http://w.wbravo.com:83/tv/yy.php?id=1351762426
电视剧-隋唐英雄传,http://w.wbravo.com:83/tv/yy.php?id=1352475619
电视剧-雍正王朝,http://w.wbravo.com:83/tv/yy.php?id=1356043620
电视剧-鹿鼎记,http://w.wbravo.com:83/tv/yy.php?id=1382704650
电视剧-康熙微服私访记,http://w.wbravo.com:83/tv/yy.php?id=1352811698
电视剧-83射雕英雄传,http://w.wbravo.com:83/tv/yy.php?id=1354210357
电视剧-薛仁贵传奇,http://w.wbravo.com:83/tv/yy.php?id=1355260662
电视剧-宰相刘罗锅,http://w.wbravo.com:83/tv/yy.php?id=1382745191
电视剧-寻秦记,http://w.wbravo.com:83/tv/yy.php?id=1382749900
电视剧-西游记后传,http://w.wbravo.com:83/tv/yy.php?id=1382736846
电视剧-天龙八部,http://w.wbravo.com:83/tv/yy.php?id=1351814644
电视剧-父母爱情,http://w.wbravo.com:83/tv/yy.php?id=1354926650
电视剧-新白娘子传奇,http://w.wbravo.com:83/tv/yy.php?id=1354490667
电视剧-欢乐颂,http://w.wbravo.com:83/tv/yy.php?id=1382851577
电视剧-炊事班的故事,http://w.wbravo.com:83/tv/yy.php?id=1382736716
电视剧-法证先锋,http://w.wbravo.com:83/tv/yy.php?id=1354930939
电视剧-西游记张卫健版,http://w.wbravo.com:83/tv/yy.php?id=1354936155
电视剧-仙剑奇侠传,http://w.wbravo.com:83/tv/yy.php?id=1382749903

电影-国产喜剧,http://w.wbravo.com:83/tv/yy.php?id=1382736856
电影-刘德华系列,http://w.wbravo.com:83/tv/yy.php?id=1354888726
电影-成龙系列,http://w.wbravo.com:83/tv/yy.php?id=1354888751
电影-林正英系列,http://w.wbravo.com:83/tv/yy.php?id=1462895099
电影-李连杰系列,http://w.wbravo.com:83/tv/yy.php?id=74613175
电影-古惑仔,http://w.wbravo.com:83/tv/yy.php?id=1458015189
电影-夏洛特烦恼,http://w.wbravo.com:83/tv/yy.php?id=1354936201
电影-鹿鼎记 周星驰版,http://w.wbravo.com:83/tv/yy.php?id=1354658049
电影-智取威虎山,http://w.wbravo.com:83/tv/yy.php?id=1382736843
电影-速度与激情,http://w.wbravo.com:83/tv/yy.php?id=1382749892
电影-洪金宝福星系列,http://w.wbravo.com:83/tv/yy.php?id=1354924839
电影-哈利波特系列,http://w.wbravo.com:83/tv/yy.php?id=1382745105

小品相声-赵本山,http://w.wbravo.com:83/tv/yy.php?id=1382683959
小品相声-宋小宝,http://w.wbravo.com:83/tv/yy.php?id=1382736866
小品相声-每天笑不停,http://w.wbravo.com:83/tv/yy.php?id=1382741642
